"","surface_protein_gene"
"3854","TAAR3P"
"3855","OR1A1"
"3856","OR14J1"
"3857","OR5V1"
"3858","OR12D3"
"3859","GPR34"
"3860","OR2W1"
"3861","OR10H1"
"3862","OR51B4"
"3863","HEL-S-123m"
"3864","HEL114"
"3865","MGRA"
"3866","C9"
"3867","hCG_1995540"
"3868","hCG_1994888"
"3869","DNAJC25-GNG10"
"3870","TMEM16K"
"3871","RAB4A"
"3872","FPRL1"
"3873","SLC44A2"
"3874","EDG5"
"3875","DFNA5"
"3876","FAM62A"
"3877","TRGJ1"
"3878","TRAJ3"
"3879","TRAJ42"
"3880","TRAJ31"
"3881","TRDJ1"
"3882","TBC1D3I"
"3883","TBC1D3K"
"3884","GPR154"
"3885","TRBJ2-6"
"3886","IGLJ1"
"3887","TRBJ2-7"
"3888","TRBJ2-4"
"3889","IGKJ1"
"3890","TRBJ2-2"
"3891","TRBJ2-5"
"3892","TRBJ2-1"
"3893","CD133"
"3894","TRBJ2-3"
"3895","IGHJ1"
"3896","FSHR1"
"3897","TRBJ1-3"
"3898","TRBJ1-6"
"3899","TRBJ1-2"
"3900","TRBJ1-1"
"3901","LIMS3"
"3902","TRBJ1-4"
"3903","TRBJ1-5"
"3904","HEL-S-79"
"3905","OR14L1"
"3906","OR4F14"
"3907","OR4F16"
"3908","OR2B8"
"3909","OR2A1"
"3910","OR52L2"
"3911","OR5R1"
"3912","OR1E5"
"3913","OR4A4"
"3914","OR2A42"
"3915","OR3A4"
"3916","OR4F5"
"3917","OR2T32"
"3918","KCNJ17"
"3919","JK"
"3920","GNG14"
"3921","OR5D3P"
"3922","OR5BS1P"
"3923","LOC112268384"
"3924","Nfasc"
"3925","OR51C1P"
"3926","CCR-5"
"3927","CXND"
"3928","CXNU"
"3929","CXNM"
"3930","CXNP1"
"3931","CXNH1"
"3932","CXNJ1"
"3933","CXNS"
"3934","CXNA"
"3935","CXNK1"
"3936","NKAIN3"
"3937","EMR2"
"3938","IGSF23"
"3939","EMR3"
"3940","GPCR40"
"3941","SMIM9"
"3942","SMIM23"
"3943","IFITM10"
"3944","PHB"
"3945","ODZ1"
"3946","TBC1D3L"
"3947","OR1F12"
"3948","hCG_1992840"
"3949","hCG_39899"
"3950","hCG_2007960"
"3951","SLC44A3"
"3952","LY6L"
"3953","CLDN34"
"3954","olfr89"
"3955","OR9G9"
"3956","IGHD1-1"
"3957","TRBD1"
"3958","TRDD1"
"3959","LY6S"
"3960","gpcr"
"3961","P0"
"3962","RET/PTC2"
"3963","DEHAL1"
"3964","FKSG83"
"3965","AVPR1"
"3966","CCRL1"
"3967","MPP5"
"3968","Hosa(Biaka)-T2R4"
"3969","Hosa(Adygei)-T2R4"
"3970","EP3-I"
"3971","EP3f"
"3972","XKR7"
"3973","CT83"
"3974","GPR24"
"3975","LST3"
"3976","DKFZp686D0714"
"3977","IZUMO3"
"3978","DKFZp686P18250"
"3979","DKFZp666G172"
"3980","DKFZp666L2010"
"3981","DKFZp547I0910"
"3982","DKFZp781L0846"
"3983","DKFZp686O088"
"3984","DKFZp779L0468"
"3985","DKFZp686I11137"
"3986","dJ402G11.9"
"3987","OR4F3"
"3988","FPRL2"
"3989","DAT1"
"3990","ATGR2"
"3991","UNQ9373"
"3992","caveolin-2"
"3993","FP3184"
"3994","ATP6B1"
"3995","EDG1"
"3996","FKSG47"
"3997","SLC21A8"
"3998","NACAIS4"
"3999","6M1-16"
"4000","HTR4B"
"4001","OR8G2"
"4002","hCG_1646325"
"4003","hCG_39951"
"4004","GPCR"
"4005","hA2aR"
"4006","FKSG41"
"4007","HEL163"
"4008","TMEM16A"
"4009","MGRH"
"4010","EDG4"
"4011","FAM126A"
"4012","CXNT"
"4013","GSDMB-1"
"4014","GFRalpha-1"
"4015","TFCP2"
"4016","TCBA1"
"4017","CHRNA7-2"
"4018","GSDML"
"4019","MGC39518"
"4020","KIAA1529"
"4021","hCG_1648279"
"4022","RAET-1E"
"4023","thrombin"
"4024","LOC51057"
"4025","DKFZp686H1993"
"4026","KPG_011"
"4027","DKFZp686M05161"
"4028","hCG_2044349"
"4029","kcnj12x"
"4030","DKFZp686A1195"
"4031","SLC9A3R2"
"4032","GPR77"
"4033","HEL-215"
"4034","HUT11"
"4035","LOC57228"
"4036","UT-B1"
"4037","ZNF607"
"4038","MGRF"
"4039","MGRG1"
"4040","MGRE"
"4041","MGRC"
"4042","MGRG2"
