"","surface_protein_gene"
"1006","GABRB2"
"1007","GCGR"
"1008","SCTR"
"1009","HTR5A"
"1010","P2RY1"
"1011","AVPR1B"
"1012","FASLG"
"1013","SLC6A8"
"1014","MTNR1A"
"1015","KCNJ1"
"1016","KCNJ4"
"1017","GRIA4"
"1018","LIMS1"
"1019","SLC6A11"
"1020","SLC6A9"
"1021","NPBWR1"
"1022","NPBWR2"
"1023","GJA8"
"1024","GLRB"
"1025","GABRA4"
"1026","LEPR"
"1027","PIP4K2A"
"1028","GIPR"
"1029","KCNC1"
"1030","IFNAR2"
"1031","SLC1A6"
"1032","CSNK1D"
"1033","PIK3CG"
"1034","SLC4A3"
"1035","SLC9A3"
"1036","ADGRE5"
"1037","MARCKSL1"
"1038","HCAR3"
"1039","NPY2R"
"1040","PTH2R"
"1041","CX3CR1"
"1042","SLC11A2"
"1043","MTNR1B"
"1044","ARRB1"
"1045","CXCR3"
"1046","PRLHR"
"1047","GPR15"
"1048","ARL4D"
"1049","TMED10"
"1050","NUMB"
"1051","RGS6"
"1052","PSEN1"
"1053","FLT3LG"
"1054","RGS3"
"1055","RGS7"
"1056","GSK3B"
"1057","SEPHS1"
"1058","AGTR2"
"1059","GNAQ"
"1060","GNG4"
"1061","GNG10"
"1062","NPY4R"
"1063","HTR6"
"1064","SLC26A2"
"1065","VASP"
"1066","TNFSF10"
"1067","TUB"
"1068","LRBA"
"1069","RNF144A"
"1070","RAB5C"
"1071","RAB9A"
"1072","RAB13"
"1073","RAB28"
"1074","PDE6C"
"1075","ATP4B"
"1076","SCNN1B"
"1077","SCNN1G"
"1078","SCNN1D"
"1079","BLK"
"1080","MMP16"
"1081","P2RY4"
"1082","CAV2"
"1083","GPC3"
"1084","GPM6A"
"1085","CCR3"
"1086","CCR4"
"1087","CCR5"
"1088","CCR6"
"1089","CCR8"
"1090","CCR9"
"1091","APLP1"
"1092","KCNQ1"
"1093","CLCN2"
"1094","CLCN3"
"1095","CLCN5"
"1096","CLCNKB"
"1097","PLXNA3"
"1098","GPR143"
"1099","TDGF1P3"
"1100","SLC7A2"
"1101","EFNA3"
"1102","EFNA4"
"1103","EFNB2"
"1104","EFNA5"
"1105","DGKQ"
"1106","PPP5C"
"1107","COPB1"
"1108","AP2S1"
"1109","ITGA8"
"1110","SLC5A3"
"1111","PLAAT3"
"1112","SLC16A1"
"1113","USP14"
"1114","ATP12A"
"1115","ATP1B3"
"1116","EPHB3"
"1117","EPHA5"
"1118","EPHB4"
"1119","EPHB1"
"1120","EPHA4"
"1121","EMP2"
"1122","NAPA"
"1123","AIF1"
"1124","SLC12A2"
"1125","SLC12A3"
"1126","GEM"
"1127","RRAD"
"1128","AQP5"
"1129","DIO3"
"1130","F2RL1"
"1131","AQP4"
"1132","NCKAP1L"
"1133","GP2"
"1134","CDH4"
"1135","CDH6"
"1136","CDH8"
"1137","CDH11"
"1138","CDH12"
"1139","CDH13"
"1140","CDH15"
"1141","FCGRT"
"1142","GFRA1"
"1143","P2RX3"
"1144","CAV3"
"1145","ARL4C"
"1146","KCNQ4"
"1147","CLDN15"
"1148","CLDN6"
"1149","CLDN8"
"1150","CLDN17"
"1151","BACE1"
"1152","CLDN18"
"1153","NRG3"
"1154","JAM2"
"1155","SLC8A3"
"1156","EVC"
"1157","RAB38"
"1158","RAB25"
"1159","CLDN2"
"1160","GSDMD"
"1161","RGS8"
"1162","EPPK1"
"1163","ANTXR2"
"1164","NRXN1"
"1165","CLRN1"
"1166","SLC26A5"
"1167","TIRAP"
"1168","NLRP6"
"1169","RAB15"
"1170","LILRA4"
"1171","CD81"
"1172","PLP1"
"1173","ERVFC1"
"1174","ERVFRD-1"
"1175","RAC3"
"1176","ZP1"
"1177","SNAP25"
"1178","RAB8A"
"1179","RAB4B"
"1180","RAB5B"
"1181","CXCR4"
"1182","UBE2D3"
"1183","RAP1B"
"1184","RHOA"
"1185","GNG11"
"1186","RRAS2"
"1187","TSPAN5"
"1188","NCS1"
"1189","ARF6"
"1190","RAB11A"
"1191","RHOB"
"1192","RAP1A"
"1193","GNB2"
"1194","CACNG7"
"1195","RAC1"
"1196","AP2B1"
"1197","VAMP2"
"1198","GNAS"
"1199","GNAI1"
"1200","PPP3R1"
"1201","ERVK-9"
"1202","UBE2B"
"1203","SUMO1"
"1204","GNGT1"
"1205","GNG5"
"1206","RACK1"
"1207","EEF1A1"
"1208","CXADR"
"1209","GPC5"
"1210","GABRE"
"1211","ASIC1"
"1212","DLG4"
"1213","PIP4K2B"
"1214","CLDN10"
"1215","OLR1"
"1216","PRAME"
"1217","BTN3A2"
"1218","CX3CL1"
"1219","JAG1"
"1220","KCNJ10"
"1221","DENND2B"
"1222","PHEX"
"1223","HLA-DRB3"
"1224","S100A12"
"1225","BASP1"
"1226","GPSM2"
"1227","SLC7A9"
"1228","CRB1"
"1229","RHOG"
"1230","VLDLR"
"1231","PKD1"
"1232","LRP2"
"1233","EFNB1"
"1234","ATP11A"
"1235","ATP8B2"
"1236","MPP1"
"1237","CDK5"
"1238","CDK16"
"1239","SPTBN1"
"1240","IL9R"
"1241","SCN7A"
"1242","PMP22"
"1243","ANK2"
"1244","CAP1"
"1245","IFITM3"
"1246","IFITM2"
"1247","IL1RL1"
"1248","SLC7A5"
"1249","MC2R"
"1250","MC1R"
"1251","ATP2B2"
"1252","EWSR1"
"1253","SLC6A3"
"1254","ROR2"
"1255","RHD"
"1256","TNFRSF17"
"1257","CNTN2"
"1258","NRG1"
"1259","DSG1"
"1260","DSC2"
"1261","CACNB1"
"1262","GHRHR"
"1263","TEK"
"1264","DST"
"1265","GNA12"
"1266","CAV1"
"1267","TGFBR3"
"1268","PLAUR"
"1269","PTH1R"
"1270","FOLH1"
"1271","ATP7A"
"1272","NOTCH2"
"1273","PRKCQ"
"1274","CHRNE"
"1275","CD164"
"1276","GAD2"
"1277","PTK2"
"1278","LIPE"
"1279","GRIN1"
"1280","PRKCD"
"1281","CHRNB3"
"1282","ZP2"
"1283","BTK"
"1284","TYRO3"
"1285","CACNG1"
"1286","APLP2"
"1287","FMR1"
"1288","CHRND"
"1289","C1QBP"
"1290","CKAP4"
"1291","ENPEP"
"1292","TJP1"
"1293","PDE4B"
"1294","SCN1B"
"1295","TNK2"
"1296","LRP1"
"1297","RGS1"
"1298","PCDH1"
"1299","PPP3CA"
"1300","CACNB2"
"1301","DDR1"
"1302","SLC20A2"
"1303","ADCY2"
"1304","DMTN"
"1305","PDE4D"
"1306","DSC1"
"1307","CD300C"
"1308","CD47"
"1309","ADCY1"
"1310","SPIRE1"
"1311","SIGLEC14"
"1312","DMPK"
"1313","ABCC8"
"1314","KCNA1"
"1315","SLC10A7"
"1316","SMAGP"
"1317","APOBR"
"1318","BST1"
"1319","BST2"
"1320","KCNMA1"
"1321","KCNH2"
"1322","ZP4"
"1323","STX4"
"1324","MAP4K2"
"1325","MAP3K12"
"1326","CNTN1"
"1327","CDH17"
"1328","MERTK"
"1329","GRIN2A"
"1330","FAP"
"1331","HYAL2"
"1332","PTPRJ"
"1333","EPS8"
"1334","BFSP1"
"1335","ANK3"
"1336","DLG1"
"1337","PTP4A2"
"1338","GRIK2"
"1339","GRIK3"
"1340","TIAM1"
"1341","ARHGAP5"
"1342","PLA2R1"
"1343","TRDN"
"1344","PAK1"
"1345","SLC13A2"
"1346","GRIN2B"
"1347","PRKG2"
"1348","KLRD1"
"1349","GRM1"
"1350","PTGDR"
"1351","STX3"
"1352","CLN3"
"1353","SLAMF1"
"1354","KCNAB2"
"1355","GPR17"
"1356","CDK5R2"
"1357","CRHR2"
"1358","IFIT5"
"1359","SGCG"
"1360","PTPRS"
"1361","SLC14A1"
"1362","MPP3"
"1363","ILK"
"1364","MSLN"
"1365","SNTA1"
"1366","SLC39A6"
"1367","ADAM9"
"1368","TMED1"
"1369","LSAMP"
"1370","ROCK1"
"1371","FZD5"
"1372","GPM6B"
"1373","PICALM"
"1374","MTM1"
"1375","TRPC3"
"1376","ART3"
